Date,Close,Volume,PriceRange
2011-01-07,39.41,20684337,2.69
2011-01-14,40.03,12433403,1.59
2011-01-21,40.97,13264453,1.1
2011-01-28,41.26,14281691,2.49
2011-02-04,42.83,16872059,2.68
2011-02-11,42.92,7504090,1.01
2011-02-18,43.13,7513402,1.5
2011-02-25,41.99,10147098,2.08
2011-03-04,43.82,12160545,2.35
2011-03-11,43.57,11701652,1.81
2011-03-18,41.61,12668375,2.85
2011-03-25,42.6,10042913,2.08
2011-04-01,44.56,10532860,2.57
2011-04-08,43.13,11580238,1.98
2011-04-15,44.48,11910902,1.73
2011-04-22,45.29,8591521,3.18
2011-04-29,46.83,13241777,2.37
2011-05-06,46.88,18397621,2.29
2011-05-13,48.69,12418038,2.51
2011-05-20,49.14,12064321,1.98
2011-05-27,49.47,13509487,2.51
2011-06-03,49.61,10140206,1.5
2011-06-10,49.09,16056980,2.92
2011-06-17,48.89,13364603,2.16
2011-06-24,48.42,12968046,2.68
2011-07-01,52.2,14558168,4.11
2011-07-08,51.85,7970224,1.56
2011-07-15,51.66,13817705,2.75
2011-07-22,52.62,11491107,2.34
2011-07-29,49.77,12085950,4.62
2011-08-05,45.19,30980609,6.1
2011-08-12,43.79,26903988,4.07
2011-08-19,41.65,19937435,3.98
2011-08-26,44.86,15149272,3.82
2011-09-02,44.84,11343611,3.39
2011-09-09,42.88,11587977,4.07
2011-09-16,46.4,18569016,4.74
2011-09-23,42.26,16401131,5.76
2011-09-30,41.94,13913488,3.62
2011-10-07,41.98,17280705,4.02
2011-10-14,44.7,10804604,2.51
2011-10-21,44.7,13294734,3.77
2011-10-28,46.63,26793289,3.54
2011-11-04,42.99,20263665,5.13
2011-11-11,43.77,15189230,2.69
2011-11-18,42.09,33210705,2.45
2011-11-25,40.92,11154008,2.02
2011-12-02,43.07,13858752,2.93
2011-12-09,42.61,15064978,2.23
2011-12-16,42.38,16409530,2.09
2011-12-23,43.13,11385961,2.5
2011-12-30,42,6204491,1.65
2012-01-06,43.61,8708978,1.62
2012-01-13,45.61,16754536,2.75
2012-01-20,46.14,14976878,1.74
2012-01-27,45.18,15500227,2.91
2012-02-03,43.55,38268487,4.89
2012-02-10,43.54,20389471,1.53
2012-02-17,44.93,15704269,2.45
2012-02-24,45.09,11694911,1.47
2012-03-02,44.2,12561061,1.45
2012-03-09,45.18,15144775,2.21
2012-03-16,46.82,18600067,2.48
2012-03-23,45.84,12520650,2.06
2012-03-30,49.25,21426454,3.76
2012-04-06,48.99,10786170,1.28
2012-04-13,48.31,13007072,1.43
2012-04-20,48.02,15580176,1.18
2012-04-27,46.87,14397346,2.46
2012-05-04,45.26,18096618,1.78
2012-05-11,45.11,12303914,1.1
2012-05-18,42.91,8964775,2.37
2012-05-25,44.5,9598686,2.19
2012-06-01,42.58,10082422,2.75
2012-06-08,44.87,11172325,2.79
2012-06-15,45.29,11595951,1.21
2012-06-22,45.15,9718274,1.8
2012-06-29,44,25088419,4.28
2012-07-06,42.54,10586445,2.28
2012-07-13,43.63,11090609,1.6
2012-07-20,41.68,12966360,2.06
2012-07-27,41.39,24294898,2.57
2012-08-03,42.08,19138214,3
2012-08-10,43.82,14573991,2.38
2012-08-17,44.3,9025618,1.23
2012-08-24,44.5,8299286,1.1
2012-08-31,45.77,9921028,1.83
2012-09-07,46.13,6444551,1.21
2012-09-14,47.8,12825751,2.12
2012-09-21,47.1,9866593,1.25
2012-09-28,47.17,9957106,1.02
2012-10-05,48.85,13148413,2.49
2012-10-12,49.71,10591134,1.81
2012-10-19,49.66,11439980,1.35
2012-10-26,49.7,9291432,1.67
2012-11-02,53.09,11018535,4.19
2012-11-09,51.65,14524985,1.93
2012-11-16,50.47,18873660,2.62
2012-11-23,52.76,6531011,2.07
2012-11-30,52.27,9944882,1.19
2012-12-07,52.9,8782710,1.69
2012-12-14,53.02,9718487,2.22
2012-12-21,53.79,9463945,1.48
2012-12-28,52.85,4327748,1.48
2013-01-04,54.75,10561922,2.71
2013-01-11,55.6,10111132,1.71
2013-01-18,56.33,8192327,1.5
2013-01-25,58.48,7480314,2.41
2013-02-01,58.88,8031855,1.04
2013-02-08,61.93,13021978,3.94
2013-02-15,61.08,8626326,1.18
2013-02-22,58.71,9503102,4.7
2013-03-01,58.26,9207735,2.1
2013-03-08,59.66,9997799,1.95
2013-03-15,62.63,10192122,3.12
2013-03-22,61.75,9255002,1.88
2013-03-29,62.37,6042236,1.33
2013-04-05,64.54,14388305,4.79
2013-04-12,66.72,8607786,3.12
2013-04-19,65.15,10623305,3.91
2013-04-26,65.81,7118411,2.15
2013-05-03,67.13,10281217,3.69
2013-05-10,68.82,7345265,2.12
2013-05-17,67.9,8164169,1.77
2013-05-24,67.23,10821949,2.39
2013-05-31,67.9,5421027,1.97
2013-06-07,68.45,7925044,3.35
2013-06-14,68.16,9298308,2.38
2013-06-21,71.04,11880853,3.53
2013-06-28,72.49,12387279,2.84
2013-07-05,73.94,5872654,2.83
2013-07-12,76.03,8437535,3.18
2013-07-19,77.84,6755980,4.2
2013-07-26,77.57,5797846,2.51
2013-08-02,77.3,8193938,2.58
2013-08-09,78.44,7485770,2.62
2013-08-16,77.36,6034879,3.54
2013-08-23,79.33,4510478,2.29
2013-08-30,78.69,5812584,2.21
2013-09-06,80.83,5240537,2.91
2013-09-13,83.65,5501732,3.63
2013-09-20,78.59,14935083,7.85
2013-09-27,77.65,7831700,2.57
2013-10-04,79.23,7957155,3.41
2013-10-11,79.6,6081489,2.84
2013-10-18,74.95,12025101,6.05
2013-10-25,73.9,10140441,4.77
2013-11-01,78.38,11377874,4.82
2013-11-08,80.68,9910278,2.74
2013-11-15,83.64,6294517,3.08
2013-11-22,86.62,7300017,3.89
2013-11-29,87.45,4748749,2.05
2013-12-06,86.5,6933079,3.86
2013-12-13,83.25,7186432,4.77
2013-12-20,85.25,7056943,2.7
2013-12-27,86.53,1712494,1.76
2014-01-03,86.4,3518917,2.01
2014-01-10,89.21,7120025,4.55
2014-01-17,89.46,5660152,1.81
2014-01-24,86.7,4889197,4.05
2014-01-31,86.31,6677500,3.3
2014-02-07,77.47,14507386,10.53
2014-02-14,77.71,21291566,2.74
2014-02-21,77.34,10737769,2.29
2014-02-28,79.59,10870218,3.02
2014-03-07,79.05,7566236,2.11
2014-03-14,76.55,11011946,4.06
2014-03-21,82.04,15267132,7.74
2014-03-28,79.41,10716554,6.03
2014-04-04,81.8,13830619,4.6
2014-04-11,77.11,10107796,5.27
2014-04-18,75.64,7450482,4.45
2014-04-25,78.95,7518047,4.02
2014-05-02,82.66,11604416,6.08
2014-05-09,86.49,10873358,4.65
2014-05-16,87.49,9946715,2.33
2014-05-23,89.24,7135084,2.03
2014-05-30,89.78,6942800,1.32
2014-06-06,90.33,6400390,1.36
2014-06-13,91.02,7000957,2.47
2014-06-20,91.86,6996721,2.46
2014-06-27,91.92,5745249,1.9
2014-07-04,93.66,4152789,2.99
2014-07-11,93.36,5535237,2.05
2014-07-18,96.32,11454761,2.77
2014-07-25,95.76,6971784,2.88
2014-08-01,90.76,13383558,9.62
2014-08-08,90.6,7336196,3.8
2014-08-15,92.56,8083591,3.24
2014-08-22,93.14,3316326,2.25
2014-08-29,94.6,5080361,2.59
2014-09-05,96.39,4349386,3.62
2014-09-12,92.32,5820499,4.62
2014-09-19,95.25,6462830,4.87
2014-09-26,91.82,5334403,4.64
2014-10-03,90.59,8194820,4.02
2014-10-10,90.59,8162667,3.31
2014-10-17,89.04,12873260,5.42
2014-10-24,92.83,5606456,3.92
2014-10-31,99.57,10868059,9.2
2014-11-07,98.99,11943909,4.04
2014-11-14,101.9,9203037,4.57
2014-11-21,102.18,7405694,2.67
2014-11-28,102.89,5256805,2.46
2014-12-05,104.71,6422477,3.2
2014-12-12,101.73,6127261,4.07
2014-12-19,104.53,7378795,5.71
2014-12-26,104,2939303,1.81
2015-01-02,102.83,2804667,3.26
2015-01-09,108,9110248,8.57
2015-01-16,107.89,7196137,3.83
2015-01-23,109.97,5886677,5.67
2015-01-30,106.83,7095454,3.56
2015-02-06,111.7,8011712,8.16
2015-02-13,114.47,6149308,5.24
2015-02-20,118.54,4721200,5.36
2015-02-27,121.63,8322786,3.55
2015-03-06,120.57,11366763,4.3
2015-03-13,122.89,6025653,3.39
2015-03-20,128.38,7983258,6.3
2015-03-27,128.98,8374338,6
2015-04-03,130.47,6868848,3.54
2015-04-10,133.31,7527640,3.84
2015-04-17,131.13,9113592,5.21
2015-04-24,130.66,6850960,2.93
2015-05-01,125.49,13452958,7.75
2015-05-08,128.49,7732222,4.6
2015-05-15,132.06,10708758,5.67
2015-05-22,135.86,7743705,5.38
2015-05-29,140.83,9906183,11.63
2015-06-05,139.5,14095074,8.32
2015-06-12,137.31,5891073,3.6
2015-06-19,155.26,28080468,28.49
2015-06-26,168.06,36319401,9.01
2015-07-03,161.29,14346828,8.23
2015-07-10,157.21,18120705,10.97
2015-07-17,153.41,7585926,5.64
2015-07-24,145.72,22728549,13.75
2015-07-31,144.06,16700091,4.92
2015-08-07,145.85,11501857,6.04
2015-08-14,144.12,7358619,6.44
2015-08-21,142.71,10054188,7.15
2015-08-28,137.87,11132968,16.18
2015-09-04,139.38,8906021,5.36
2015-09-11,139.62,6865311,5.97
2015-09-18,141.62,5249719,5.73
2015-09-25,137.48,6040254,6.73
2015-10-02,138.58,9919836,7.22
2015-10-09,136.36,9708398,7.22
2015-10-16,140.74,7425817,7.11
2015-10-23,132.54,11598198,15.44
2015-10-30,134.04,7323385,6.65
2015-11-06,132.81,7488761,6.66
2015-11-13,131.57,7532684,3.88
2015-11-20,132.17,7891075,8.76
2015-11-27,135.3,3825605,3.76
2015-12-04,140.43,9958477,7.86
2015-12-11,140.08,4945370,5.7
2015-12-18,143.97,9675531,6.21
2015-12-25,146.46,4308311,4.41
2016-01-01,146.33,2743936,2.65
2016-01-08,138.74,7401993,9.56
2016-01-15,136.23,9276384,5.51
2016-01-22,137.9,7944114,7.5
2016-01-29,133.6,8332846,9.75
