Date,Close,Volume,PriceRange
2010-02-05,58.28,11772986,3.26
2010-02-12,58.99,10210929,1.73
2010-02-19,60.75,7037693,1.8
2010-02-26,59.15,11280174,2.57
2010-03-05,62.08,8758629,2.73
2010-03-12,61.08,9619137,2.36
2010-03-19,64.07,11467019,3.72
2010-03-26,63.62,8798582,2.33
2010-04-02,66.36,12111312,3.5
2010-04-09,66.56,9679555,1.15
2010-04-16,64.19,11169287,2.79
2010-04-23,68.03,10584854,4.23
2010-04-30,64.81,10283452,3.4
2010-05-07,63.73,22525736,5.24
2010-05-14,67.72,15697678,4.6
2010-05-21,68.33,19547498,5.09
2010-05-28,70,15031668,4.66
2010-06-04,68.56,10786805,3.27
2010-06-11,69.67,11353483,2.39
2010-06-18,70.09,12037891,1.82
2010-06-25,68.16,11887454,4.17
2010-07-02,67.16,12944462,3.65
2010-07-09,67.43,8825347,1.58
2010-07-16,68,11784252,2.66
2010-07-23,65.63,21057572,4.64
2010-07-30,62.82,21071820,6.83
2010-08-06,62.81,15029391,2.05
2010-08-13,60.65,14147463,3.25
2010-08-20,61.67,10986439,2.88
2010-08-27,60.36,12044435,3.07
2010-09-03,59.95,9770645,2.6
2010-09-10,59.35,7192670,1.43
2010-09-17,62.35,14697723,5.23
2010-09-24,61.91,18003561,5.34
2010-10-01,60.7,15189964,3.39
2010-10-08,60.78,8730637,2.13
2010-10-15,62.38,10391294,2.46
2010-10-22,61.08,10459597,2.5
2010-10-29,65.98,15709391,5.41
2010-11-05,66.3,17015764,2.47
2010-11-12,65.09,12602906,1.98
2010-11-19,66,8468638,2.8
2010-11-26,64.51,5216557,2.12
2010-12-03,67.01,8155635,3.72
2010-12-10,68.09,7538403,2.32
2010-12-17,68.81,12865344,2.59
2010-12-24,70.86,6266138,2.32
2010-12-31,70.38,4416036,0.87
2011-01-07,74,13246192,4.45
2011-01-14,74.17,10899651,1.51
2011-01-21,73.21,10030699,2.07
2011-01-28,74.15,8477953,2.16
2011-02-04,77.74,15786524,4.47
2011-02-11,78.77,8480454,1.87
2011-02-18,80.64,10473302,2.17
2011-02-25,79.21,7325136,2.59
2011-03-04,80.48,11740573,2.99
2011-03-11,77.81,10160112,3.2
2011-03-18,77.92,10567639,3.16
2011-03-25,79.59,7249445,2.44
2011-04-01,79.77,7734957,1.44
2011-04-08,78.5,9417108,1.73
2011-04-15,80.61,9602782,3.27
2011-04-22,82.48,5218880,4.38
2011-04-29,83.01,8628959,2.64
2011-05-06,82.74,12168743,3.65
2011-05-13,84.24,8529627,3.21
2011-05-20,85.07,10517448,3.31
2011-05-27,85.04,9619452,2.03
2011-06-03,84.28,7126126,2.36
2011-06-10,83.25,9809376,2.71
2011-06-17,82.41,10734507,3.03
2011-06-24,81.55,11939771,2.76
2011-07-01,84.08,10562639,3.43
2011-07-08,84.54,6067057,1.44
2011-07-15,82.48,9457854,2
2011-07-22,82.31,10068395,2.78
2011-07-29,81.12,16366407,3.61
2011-08-05,75.31,16121820,8.07
2011-08-12,79.02,21744715,9.96
2011-08-19,73.85,13029844,6.19
2011-08-26,76.53,9038857,3.95
2011-09-02,77.5,8758484,4.48
2011-09-09,74.08,8167230,5.75
2011-09-16,76.63,11180725,4.31
2011-09-23,73.36,9749232,6.23
2011-09-30,72.7,12062615,4.77
2011-10-07,70.38,14167006,6.6
2011-10-14,73.45,7330772,3.77
2011-10-21,75.87,7216903,4.23
2011-10-28,84.41,14049377,10.23
2011-11-04,80.62,12109396,5.44
2011-11-11,82.77,7894902,4.48
2011-11-18,80.01,6730152,3.58
2011-11-25,76.34,4570394,3.08
2011-12-02,80.49,7772547,4.52
2011-12-09,79.74,6564475,3.28
2011-12-16,77.7,7411786,3.94
2011-12-23,78.73,4467794,2.76
2011-12-30,77.91,4017435,2.08
2012-01-06,78.67,6401012,2.2
2012-01-13,77.24,8917150,3.97
2012-01-20,76.51,11455481,3.51
2012-01-27,79.31,10424444,3.86
2012-02-03,80.8,14109601,5.24
2012-02-10,81.34,8553158,2.38
2012-02-17,82.57,7485440,2.25
2012-02-24,82,4937375,2.07
2012-03-02,82.17,10662132,2.94
2012-03-09,86.4,10893908,5.55
2012-03-16,87.56,8766333,2.1
2012-03-23,86.38,8230652,2.11
2012-03-30,87.77,9185982,1.82
2012-04-06,87.83,6198016,1.59
2012-04-13,90.48,15324060,6.05
2012-04-20,91,9650968,2.08
2012-04-27,91.05,8162255,2.49
2012-05-04,89.58,11171537,3.8
2012-05-11,90.15,7621900,2.17
2012-05-18,87.45,9844683,3.49
2012-05-25,87.69,9477025,1.99
2012-06-01,86.7,9700264,1.78
2012-06-08,88.42,7865215,3.09
2012-06-15,91,10203242,3.79
2012-06-22,91.67,6213393,3.07
2012-06-29,93.75,6300541,3.97
2012-07-06,93.52,4723834,2.68
2012-07-13,94.88,5336832,2.01
2012-07-20,95.34,4748630,2.93
2012-07-27,91.74,9124670,3.7
2012-08-03,87.43,10304985,4.76
2012-08-10,89.06,6634364,1.95
2012-08-17,86.42,6764865,3.42
2012-08-24,87.19,7631338,1.29
2012-08-31,87.11,8429530,1.91
2012-09-07,88.5,6085739,3.18
2012-09-14,87.4,8239264,3
2012-09-21,86.72,9510084,2.97
2012-09-28,86.03,8239348,2.76
2012-10-05,89.47,9944839,5.06
2012-10-12,89.28,5364375,1.51
2012-10-19,90.2,6627668,3.36
2012-10-26,92.58,8464355,5.15
2012-11-02,93.3,4612799,4.08
2012-11-09,92.94,6314901,2.52
2012-11-16,92.06,6379457,3.39
2012-11-23,94.11,3569678,1.71
2012-11-30,94.47,7103291,3.06
2012-12-07,95.3,5517532,2.7
2012-12-14,98.25,6229766,3.28
2012-12-21,98,7770292,3.23
2012-12-28,95.89,2781596,2.67
2013-01-04,99.94,4482910,4.57
2013-01-11,101.08,6413848,3.09
2013-01-18,103.98,4828796,3.28
2013-01-25,106.62,4808899,3.86
2013-02-01,103.19,8167429,4.43
2013-02-08,103.8,6882370,2.42
2013-02-15,103.42,8172843,2.31
2013-02-22,103.66,7280694,2.81
2013-03-01,107.46,10034426,5.82
2013-03-08,109.32,8060344,3.42
2013-03-15,110.48,7958523,2.53
2013-03-22,107.89,9310809,5.65
2013-03-29,107.96,3784140,1.6
2013-04-05,106.83,5512539,2.84
2013-04-12,108.36,5065929,3.4
2013-04-19,106.25,5147755,3.76
2013-04-26,104.18,5625696,4.21
2013-05-03,108.14,5984337,5.92
2013-05-10,115.29,8435203,9.16
2013-05-17,116.89,4946387,3.01
2013-05-24,117.31,5380397,3.23
2013-05-31,113.86,5455727,5.29
2013-06-07,113.96,6168077,3.72
2013-06-14,114.29,4688378,4.01
2013-06-21,110.97,7567614,5.53
2013-06-28,114.5,7624736,7.39
2013-07-05,115.73,3818884,3.52
2013-07-12,118.64,4239054,4.01
2013-07-19,118.65,3668038,2.03
2013-07-26,124.85,5902683,9.09
2013-08-02,123.42,5561302,2.7
2013-08-09,124.21,4000118,2.41
2013-08-16,121.82,5717480,2.44
2013-08-23,122.95,3350885,1.64
2013-08-30,121.41,3526032,3.11
2013-09-06,123.57,3343458,3.08
2013-09-13,128.7,4345634,6.3
2013-09-20,131.27,6221023,3.9
2013-09-27,129.29,6596442,3.89
2013-10-04,131.87,5383437,4.07
2013-10-11,138.31,14180897,9.43
2013-10-18,141.45,6376588,7.17
2013-10-25,154.99,17007834,20.59
2013-11-01,159.44,11670398,7.51
2013-11-08,158.56,7725836,5.77
2013-11-15,160.15,6903147,4.69
2013-11-22,163.61,5799535,6.62
2013-11-29,165.89,5110399,2.99
2013-12-06,162.81,7005029,6.47
2013-12-13,157.39,10352179,8.63
2013-12-20,161.5,6131936,5.84
2013-12-27,160.98,2283907,3.68
2014-01-03,160.71,4225661,2.65
2014-01-10,175.44,14711292,17.09
2014-01-17,168.12,17036927,15.16
2014-01-24,173.72,10781522,10.21
2014-01-31,174.41,11005260,5.71
2014-02-07,174.99,8599779,7.98
2014-02-14,175.6,6575746,4.81
2014-02-21,176.35,6791329,3.67
2014-02-28,177.05,7628685,4.89
2014-03-07,182.4,6798835,9.13
2014-03-14,180.81,6103571,6.78
2014-03-21,180.85,5671353,7.27
2014-03-28,175.42,7048758,9.92
2014-04-04,170.87,6295950,7.44
2014-04-11,164.68,8896341,10.31
2014-04-18,170.98,5637443,7.92
2014-04-25,167.85,4887130,5.75
2014-05-02,167.01,8684435,5.84
2014-05-09,171,6707659,5.63
2014-05-16,178.21,9125116,9.29
2014-05-23,183.75,6937786,7.68
2014-05-30,189.64,5464840,8.65
2014-06-06,188.73,6664260,3.93
2014-06-13,182.61,5195721,7.44
2014-06-20,185.49,5280503,5.6
2014-06-27,188.92,4898705,7.56
2014-07-04,190,4199901,4.94
2014-07-11,188.97,4501002,5.07
2014-07-18,191.45,5022587,4.34
2014-07-25,191.8,4434209,7.15
2014-08-01,195.43,7206692,6.12
2014-08-08,189.83,5844896,10.6
2014-08-15,191.15,4653686,5.61
2014-08-22,192,3453079,3.89
2014-08-29,195.03,3283408,3.78
2014-09-05,198.34,3444325,5.32
2014-09-12,192.46,4614010,8.05
2014-09-19,195.79,3963753,7.3
2014-09-26,194.8,3781955,4.3
2014-10-03,199.6,4756884,8.97
2014-10-10,193.97,5602091,6.68
2014-10-17,191.23,7773794,15.74
2014-10-24,200.83,4876759,11.04
2014-10-31,203.41,8613096,11.91
2014-11-07,199.32,4329187,7.76
2014-11-14,205.25,4364936,7.16
2014-11-21,205.17,4720803,4.7
2014-11-28,210.76,3182036,5.69
2014-12-05,212.63,3675698,5.16
2014-12-12,205.33,5135191,9.07
2014-12-19,211.12,5864958,12.94
2014-12-26,210.15,2378209,4.44
2015-01-02,207.2,2618375,5.66
2015-01-09,216.67,6028655,12.09
2015-01-16,213.98,4249492,9.12
2015-01-23,217.67,3171280,7.54
2015-01-30,212.65,5816444,10.71
2015-02-06,222.76,8960194,16.06
2015-02-13,224.89,5295909,9.22
2015-02-20,229.16,3156229,5.29
2015-02-27,228.7,4603914,3.2
2015-03-06,224.6,4426031,6.3
2015-03-13,224.64,3752146,8.29
2015-03-20,229.94,5327999,5.84
2015-03-27,226.11,4663443,9.07
2015-04-03,223.52,3271074,9.03
2015-04-10,224.34,4934641,6.36
2015-04-17,228.03,4786192,5.92
2015-04-24,229.2,5292446,4.45
2015-05-01,224.94,5239975,8.38
2015-05-08,229.08,4261201,8.53
2015-05-15,239.93,6745587,14.77
2015-05-22,240.61,4697662,5.15
2015-05-29,237.23,3821621,3.86
2015-06-05,235.45,3289330,6.18
2015-06-12,235.12,3847806,6.23
2015-06-19,235.85,4522467,4.24
2015-06-26,227.92,5285758,10.87
2015-07-03,224.26,4467989,4.82
2015-07-10,229.56,5769336,8.51
2015-07-17,234.46,4307986,7.41
2015-07-24,226.66,4907789,9
2015-07-31,220.57,10144575,12.03
2015-08-07,216.14,6663639,11
2015-08-14,215.28,4460458,6.96
2015-08-21,202.53,6238612,14.79
2015-08-28,200.8,15550691,44.8
2015-09-04,192.82,10532920,13.25
2015-09-11,197.64,8108082,7.93
2015-09-18,203.73,9247806,12.62
2015-09-25,192.23,7784982,15.29
2015-10-02,186.54,11223014,10.12
2015-10-09,189.95,11382072,7.8
2015-10-16,195.21,7491932,6.97
2015-10-23,186.96,11542333,19.13
2015-10-30,178.8,16407685,23.32
2015-11-06,183.75,10421334,10.57
2015-11-13,179.89,8966761,6.35
2015-11-20,189.68,9778712,10.98
2015-11-27,190.36,4369424,3.74
2015-12-04,190.54,8204540,6.04
2015-12-11,190.21,8531969,5.49
2015-12-18,193.4,8531860,9.7
2015-12-25,199.41,5096783,7.88
2016-01-01,197.23,4490252,4.98
2016-01-08,182.39,7995663,14.84
2016-01-15,165,23251555,14.47
2016-01-22,170.18,11618059,11.3
2016-01-29,160.98,13207738,20.69
2016-02-05,154.36,15487373,11.21
2016-02-12,151.03,11956803,7.01
2016-02-19,154.27,6265976,7.27
2016-02-26,156.78,5168455,6.75
2016-03-04,162.77,7360134,10.5
2016-03-11,166.4,6466554,9.19
2016-03-18,158.31,7705648,17.53
2016-03-25,157.29,5662680,4.75
2016-04-01,157.41,5968847,4.67
2016-04-08,162.2,6631591,9.09
2016-04-15,172.77,8264188,11.66
2016-04-22,178.25,6758307,8.46
2016-04-29,167.82,8655442,12.28
2016-05-06,168.86,10885521,14.11
2016-05-13,165.93,5558978,8.23
2016-05-20,182.29,14035963,15.35
2016-05-27,181.22,8623117,7.32
2016-06-03,186.46,7680403,7.92
2016-06-10,185.47,5653463,4.32
2016-06-17,177.78,6638249,9.95
2016-06-24,177.07,6105660,8.54
2016-07-01,188.1,7573225,19.2
2016-07-08,192.79,5759943,8.17
2016-07-15,197.14,6694285,7.53
2016-07-22,196.57,4706464,3.45
2016-07-29,194.56,6829299,7.03
2016-08-05,194.66,6371667,4.9
2016-08-12,195.24,3879717,3.13
2016-08-19,193.85,4028400,4.11
2016-08-26,182.79,7966168,12.84
2016-09-02,182.98,5155880,2.73
2016-09-09,176.09,5851630,10.26
2016-09-16,166.16,21352670,17.56
2016-09-23,167.08,9648600,4.7
2016-09-30,166.75,7188502,3.77
2016-10-07,165.82,6861672,3.62
2016-10-14,161,7307775,5.85
2016-10-21,161.03,5831821,3.31
2016-10-28,124.11,34860701,48.23
2016-11-04,130.76,26369954,15.11
2016-11-11,143.03,18683222,21.59
2016-11-18,140.05,12164908,6.39
2016-11-25,143.07,7283405,5.31
2016-12-02,143.56,10487948,3.93
2016-12-09,146.25,13672075,10.95
2016-12-16,142.29,11587091,7.52
2016-12-23,141.18,6516226,4.24
2016-12-30,140.45,3438846,2.89
2017-01-06,146.92,7479680,9.1
2017-01-13,147.18,6956612,7.5
2017-01-20,150.28,7856590,5.79
2017-01-27,136.74,16809601,15.78
2017-02-03,138.84,15688205,6.33
2017-02-10,139.57,7258370,4.12
2017-02-17,150.25,10925292,10.75
2017-02-24,150.85,5142448,3.86
2017-03-03,152.53,9227655,4.8
2017-03-10,147.67,8787816,5.24
2017-03-17,147.93,8753585,4.09
2017-03-24,145.63,6543710,4.89
2017-03-31,148.26,7930135,6.97
2017-04-07,143.91,7360979,5.04
2017-04-14,143.2,4487879,3
2017-04-21,135.92,11381231,9.31
2017-04-28,138.29,8571822,5.77
2017-05-05,141.47,6460818,5.57
2017-05-12,144.58,6418889,6.25
2017-05-19,153.01,14844237,15.19
2017-05-26,161.2,12649126,9.92
2017-06-02,165.7,6660830,5.49
2017-06-09,163.39,7251360,5.57
2017-06-16,159.83,8770234,5.97
2017-06-23,166.96,9427529,7.71
2017-06-30,164.54,7350776,6.95
2017-07-07,164.68,4060071,4.79
2017-07-14,167.5,5210960,4.72
2017-07-21,165.92,8318484,6.28
2017-07-28,162.51,8926575,11.99
2017-08-04,154.69,8593863,9.48
2017-08-11,149.99,7568648,8.6
