Date,Close,Volume,PriceRange,Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
43903,176.75,13522651,46.01,,,,,,,,,,,,
43910,165.01,20470045,53.68,,,,,,,,,,,,
43917,188.84,18224555,37.81,,,,,,,,,,,,
43924,181.25,10514602,19.19,,,,,,,,,,,,
43931,203.51,7849261,20.25,,,,,,,,,,,,
43938,225.86,10482344,28.76,,,,,,,,,,,,
43945,214.55,8205700,18.01,,,,,,,,,,,,
43952,218.69,8297043,21.29,,,,,,,,,,,,
43959,237.99,7327045,24.35,,,,,,,,,,,,
43966,247.09,9321584,22.94,,,,,,,,,,,,
43973,276.73,8777926,25.99,,,,,,,,,,,,
43980,300.1,11464431,29.89,,,,,,,,,,,,
43987,319.78,13161526,27.45,,,,,,,,,,,,
43994,296.36,18004466,35.21,,,,,,,,,,,,
44001,297.38,9960403,25.22,,,,,,,,,,,,
44008,289.53,7536282,22.1,,,,,,,,,,,,
44015,304.77,10987087,34.03,,,,,,,,,,,,
44022,314.39,10207461,15.43,,,,,,,,,,,,
44029,316.82,8777113,26.81,,,,,,,,,,,,
44036,321.5,8404947,23.95,,,,,,,,,,,,
44043,325.59,7390320,16.89,,,,,,,,,,,,
44050,342.12,7329678,19.73,,,,,,,,,,,,
44057,349.12,6742580,19.72,,,,,,,,,,,,
44064,368.75,4589271,19.77,,,,,,,,,,,,
44071,377.48,6603179,14.65,,,,,,,,,,,,
44078,361.41,10192193,53.93,,,,,,,,,,,,
44085,313.39,18562589,56.37,,,,,,,,,,,,
44092,294.76,10605126,28.43,,,,,,,,,,,,
44099,315.35,15173105,44.64,,,,,,,,,,,,
44106,332.67,8358779,32.67,,,,,,,,,,,,
44113,346.46,7002615,22.32,,,,,,,,,,,,
44120,349.95,5399234,16.41,,,,,,,,,,,,
44127,333.92,7280145,35.83,,,,,,,,,,,,
44134,319.29,5598871,26.22,,,,,,,,,,,,
44141,343.8,6083174,41.83,,,,,,,,,,,,
44148,325.45,6078138,42.89,,,,,,,,,,,,
44155,345.74,4375085,27.81,,,,,,,,,,,,
44162,365.39,3419109,22.16,,,,,,,,,,,,
44169,377.06,7026389,26.05,,,,,,,,,,,,
44176,344.32,14474407,35.22,,,,,,,,,,,,
44183,378.05,13463273,50.3,,,,,,,,,,,,
44190,351.42,6159804,27.32,,,,,,,,,,,,
44197,348.03,4569037,12.33,,,,,,,,,,,,
44204,365.46,7407014,27.79,,,,,,,,,,,,
44211,344.5,6940789,35.65,,,,,,,,,,,,
44218,346.37,4005051,17.9,,,,,,,,,,,,
44225,328.68,8782471,37.1,,,,,,,,,,,,
44232,334.08,6302647,20.6,,,,,,,,,,,,
44239,342.86,4686784,12.88,,,,,,,,,,,,
44246,332.23,4146111,19.25,,,,,,,,,,,,
44253,311.68,7139546,23.94,,,,,,,,,,,,
44260,293.24,10845960,51.97,,,,,,,,,,,,
44267,306.08,8985777,27.29,,,,,,,,,,,,
44274,308.71,5777639,13.38,,,,,,,,,,,,
44281,314,5520125,22.76,,,,,,,,,,,,
44288,301.07,11932070,20.53,,,,,,,,,,,,
44295,318.12,8231323,23.41,,,,,,,,,,,,
44302,324.1,5366510,14.04,,,,,,,,,,,,
44309,340.98,6962853,27.63,,,,,,,,,,,,
44316,335.27,4190774,12.16,,,,,,,,,,,,
44323,330.24,4208644,19.73,,,,,,,,,,,,
44330,314.65,4830636,27.65,,,,,,,,,,,,
44337,313.2,4056266,18.49,,,,,,,,,,,,
44344,323.13,5408397,17.9,,,,,,,,,,,,
44351,329.52,6989285,17.97,,,,,,,,,,,,
44358,338.3,5069385,13.09,,,,,,,,,,,,
44365,347.57,5895225,17.84,,,,,,,,,,,,
44372,363.69,4911507,25.28,,,,,,,,,,,,
44379,368.47,4113941,8.04,,,,,,,,,,,,
44386,377.42,3251844,13.69,,,,,,,,,,,,
44393,371.69,5382694,20.02,,,,,,,,,,,,
44400,402.79,5636673,41.44,,,,,,,,,,,,
44407,400.17,3579052,20.5,,,,,,,,,,,,
44414,408.52,2843670,15.76,,,,,,,,,,,,
44421,408.72,2542879,10.32,,,,,,,,,,,,
44428,397.83,3661310,23.21,,,,,,,,,,,,
44435,405.97,2478479,12.78,,,,,,,,,,,,
44442,388.33,4696681,32.73,,,,,,,,,,,,
44449,425.58,13900868,57.85,,,,,,,,,,,,
44456,426.55,5442737,18.65,,,,,,,,,,,,
44463,432.61,4894378,24.83,,,,,,,,,,,,
44470,401.37,4333340,35.55,,,,,,,,,,,,
44477,397.22,3855382,18.19,,,,,,,,,,,,
44484,403.51,4594740,27.44,,,,,,,,,,,,
44491,421.73,2677733,24.55,,,,,,,,,,,,
44498,466.01,3834922,44.01,,,,,,,,,,,,
44505,467.91,3522232,22.56,,,,,,,,,,,,
44512,452.59,3226585,21.23,,,,,,,,,,,,
44519,473,4617578,31.17,,,,,,,,,,,,
44526,456.58,2449557,26.85,,,,,,,,,,,,
44533,435.72,5030064,38.1,,,,,,,,,,,,
44540,409.58,10205250,40.18,,,,,,,,,,,,
44547,384.66,8265331,36.38,,,,,,,,,,,,
44554,391.56,5886932,26.08,,,,,,,,,,,,
44561,391.45,4626951,14.73,,,,,,,,,,,,
44568,355.21,7937731,40.17,,,,,,,,,,,,
